These are the redirects that are being changed. 
from_path: /development/other-gifts/memorial/ to_url changing from: http://www.bethel.edu/giving/creative-giving/ to: https://www.bethel.edu/giving/creative-giving/
from_path: /development/other-gifts/corporate to_url changing from: http://www.bethel.edu/giving/creative-giving/ to: https://www.bethel.edu/giving/creative-giving/
from_path: /development/other-gifts/corporate/ to_url changing from: http://www.bethel.edu/giving/creative-giving/ to: https://www.bethel.edu/giving/creative-giving/
from_path: /development/news to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/news/ to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/things-made-possible to_url changing from: http://www.bethel.edu/giving/projects/ to: https://www.bethel.edu/giving/projects/
from_path: /development/things-made-possible/ to_url changing from: http://www.bethel.edu/giving/projects/ to: https://www.bethel.edu/giving/projects/
from_path: /development/contact to_url changing from: http://www.bethel.edu/giving/contact/ to: https://www.bethel.edu/giving/contact/
from_path: /development/contact/ to_url changing from: http://www.bethel.edu/giving/contact/ to: https://www.bethel.edu/giving/contact/
from_path: /development/staff to_url changing from: http://www.bethel.edu/giving/contact/officers/ to: https://www.bethel.edu/giving/contact/officers/
from_path: /development/staff/ to_url changing from: http://www.bethel.edu/giving/contact/officers/ to: https://www.bethel.edu/giving/contact/officers/
from_path: /development/donor-contact to_url changing from: https://www.bethel.edu/giving/forms/donor-contact to: https://auth.bethel.edu/cas/login?service=https%3A%2F%2Fwww.bethel.edu%2Fgiving%2Fforms%2Fdonor-contact
from_path: /development/donor-contact/ to_url changing from: https://www.bethel.edu/giving/forms/donor-contact to: https://auth.bethel.edu/cas/login?service=https%3A%2F%2Fwww.bethel.edu%2Fgiving%2Fforms%2Fdonor-contact
from_path: /development/donor-contact/index.html to_url changing from: https://www.bethel.edu/giving/forms/donor-contact to: https://auth.bethel.edu/cas/login?service=https%3A%2F%2Fwww.bethel.edu%2Fgiving%2Fforms%2Fdonor-contact
from_path: /development/golf-classic to_url changing from: http://www.bethel.edu/giving/events/golf-classic/ to: https://www.bethel.edu/events/golf-classic/
from_path: /development/golf-classic/ to_url changing from: http://www.bethel.edu/giving/events/golf-classic/ to: https://www.bethel.edu/events/golf-classic/
from_path: /development/proposal to_url changing from: https://www.bethel.edu/giving/forms/proposals/ to: https://auth.bethel.edu/cas/login?service=https%3A%2F%2Fwww.bethel.edu%2Fgiving%2Fforms%2Fproposals
from_path: /development/proposal/ to_url changing from: https://www.bethel.edu/giving/forms/proposals/ to: https://auth.bethel.edu/cas/login?service=https%3A%2F%2Fwww.bethel.edu%2Fgiving%2Fforms%2Fproposals
from_path: /development/prospect-research-request-form to_url changing from: https://www.bethel.edu/giving/forms/request-for-prospect-research/ to: https://auth.bethel.edu/cas/login?service=https%3A%2F%2Fwww.bethel.edu%2Fgiving%2Fforms%2Frequest-for-prospect-research
from_path: /development/prospect-research-request-form/ to_url changing from: https://www.bethel.edu/giving/forms/request-for-prospect-research/ to: https://auth.bethel.edu/cas/login?service=https%3A%2F%2Fwww.bethel.edu%2Fgiving%2Fforms%2Frequest-for-prospect-research
from_path: /development/employee-giving to_url changing from: https://www.bethel.edu/giving/donate/employee-giving to: https://auth.bethel.edu/cas/login?service=https%3A%2F%2Fwww.bethel.edu%2Fgiving%2Fdonate%2Femployee-giving
from_path: /development/employee-giving/ to_url changing from: https://www.bethel.edu/giving/donate/employee-giving to: https://auth.bethel.edu/cas/login?service=https%3A%2F%2Fwww.bethel.edu%2Fgiving%2Fdonate%2Femployee-giving
from_path: /development/annual-report/letter.html to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/annual-report/letter.html/ to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/annual-report/programs-caps.html to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/annual-report/programs-caps.html/ to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/annual-report/strides-caps-gs.html to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/annual-report/strides-caps-gs.html/ to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/athletic-giving/b-club to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/athletic-giving/b-club/ to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/bethel-investor/07/summer/class07.html to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/calendar.html to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/campaign/commons-videos/commons-construction-photos to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/campaign/commons-videos/commons-construction-photos/ to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/campaign/commons-videos/commons-webcam to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/campaign/commons-videos/commons-webcam/ to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/campaign/commons-videos/univ-commons to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/campaign/commons-videos/univ-commons/ to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/campaign/goals/bssd-needs to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/campaign/goals/bssd-needs/ to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/campaign/news/univ-commons.html to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/churches.html to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/donate to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/donate/ to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/golf-classic/2008-photos/@@thumbnails to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/golf-classic/2008-photos/@@thumbnails/ to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/news/2009/golf-classic-gallery/@@thumbnails to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/news/2009/golf-classic-gallery/@@thumbnails/ to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
